LAUS Code,State,County,County Name/State Abbreviation,Period,Force,Employed,Unemployed,(%)
CN2114500000000,21,145,"McCracken County, KY",Feb-22,29623,28359,1264,4.30000000
CN2114700000000,21,147,"McCreary County, KY",Feb-22,4840,4597,243,5.00000000
CN2114900000000,21,149,"McLean County, KY",Feb-22,4037,3854,183,4.50000000
CN2115100000000,21,151,"Madison County, KY",Feb-22,47559,45932,1627,3.40000000
CN2115300000000,21,153,"Magoffin County, KY",Feb-22,3441,2963,478,13.90000000
CN2115500000000,21,155,"Marion County, KY",Feb-22,9226,8891,335,3.60000000
CN2115700000000,21,157,"Marshall County, KY",Feb-22,14075,13437,638,4.50000000
CN2115900000000,21,159,"Martin County, KY",Feb-22,2310,2119,191,8.30000000
CN2116100000000,21,161,"Mason County, KY",Feb-22,6746,6393,353,5.20000000
CN2116300000000,21,163,"Meade County, KY",Feb-22,11623,11084,539,4.60000000
CN2116500000000,21,165,"Menifee County, KY",Feb-22,2371,2190,181,7.60000000
CN2116700000000,21,167,"Mercer County, KY",Feb-22,9878,9487,391,4.00000000
CN2116900000000,21,169,"Metcalfe County, KY",Feb-22,3941,3753,188,4.80000000
CN2117100000000,21,171,"Monroe County, KY",Feb-22,4618,4456,162,3.50000000
CN2117300000000,21,173,"Montgomery County, KY",Feb-22,11755,11145,610,5.20000000
CN2117500000000,21,175,"Morgan County, KY",Feb-22,4367,4093,274,6.30000000
CN2117700000000,21,177,"Muhlenberg County, KY",Feb-22,9729,9138,591,6.10000000
CN2117900000000,21,179,"Nelson County, KY",Feb-22,23325,22399,926,4.00000000
CN2118100000000,21,181,"Nicholas County, KY",Feb-22,3329,3197,132,4.00000000
CN2118300000000,21,183,"Ohio County, KY",Feb-22,8940,8483,457,5.10000000
CN2118500000000,21,185,"Oldham County, KY",Feb-22,33458,32448,1010,3.00000000
CN2118700000000,21,187,"Owen County, KY",Feb-22,4983,4802,181,3.60000000
CN2118900000000,21,189,"Owsley County, KY",Feb-22,1038,969,69,6.60000000
CN2119100000000,21,191,"Pendleton County, KY",Feb-22,6911,6640,271,3.90000000
CN2119300000000,21,193,"Perry County, KY",Feb-22,8070,7644,426,5.30000000
CN2119500000000,21,195,"Pike County, KY",Feb-22,19215,18159,1056,5.50000000
CN2119700000000,21,197,"Powell County, KY",Feb-22,5133,4890,243,4.70000000
CN2119900000000,21,199,"Pulaski County, KY",Feb-22,25884,24716,1168,4.50000000
CN2120100000000,21,201,"Robertson County, KY",Feb-22,814,768,46,5.70000000
CN2120300000000,21,203,"Rockcastle County, KY",Feb-22,6591,6294,297,4.50000000
CN2120500000000,21,205,"Rowan County, KY",Feb-22,9973,9513,460,4.60000000
CN2120700000000,21,207,"Russell County, KY",Feb-22,6161,5856,305,5.00000000
CN2120900000000,21,209,"Scott County, KY",Feb-22,30067,29174,893,3.00000000
CN2121100000000,21,211,"Shelby County, KY",Feb-22,25957,25129,828,3.20000000
CN2121300000000,21,213,"Simpson County, KY",Feb-22,8876,8587,289,3.30000000
CN2121500000000,21,215,"Spencer County, KY",Feb-22,10677,10261,416,3.90000000
CN2121700000000,21,217,"Taylor County, KY",Feb-22,12642,12203,439,3.50000000
CN2121900000000,21,219,"Todd County, KY",Feb-22,5479,5312,167,3.00000000
CN2122100000000,21,221,"Trigg County, KY",Feb-22,6126,5849,277,4.50000000
CN2122300000000,21,223,"Trimble County, KY",Feb-22,3844,3686,158,4.10000000
CN2122500000000,21,225,"Union County, KY",Feb-22,5973,5747,226,3.80000000
CN2122700000000,21,227,"Warren County, KY",Feb-22,65415,63173,2242,3.40000000
CN2122900000000,21,229,"Washington County, KY",Feb-22,6109,5903,206,3.40000000
CN2123100000000,21,231,"Wayne County, KY",Feb-22,7211,6860,351,4.90000000
CN2123300000000,21,233,"Webster County, KY",Feb-22,5273,5067,206,3.90000000
CN2123500000000,21,235,"Whitley County, KY",Feb-22,14327,13743,584,4.10000000
CN2123700000000,21,237,"Wolfe County, KY",Feb-22,2232,2107,125,5.60000000
CN2123900000000,21,239,"Woodford County, KY",Feb-22,14784,14385,399,2.70000000
CN2200100000000,22,001,"Acadia Parish, LA",Feb-22,23697,22904,793,3.30000000
CN2200300000000,22,003,"Allen Parish, LA",Feb-22,8232,7913,319,3.90000000
CN2200500000000,22,005,"Ascension Parish, LA",Feb-22,65731,63897,1834,2.80000000
CN2200700000000,22,007,"Assumption Parish, LA",Feb-22,8650,8177,473,5.50000000
CN2200900000000,22,009,"Avoyelles Parish, LA",Feb-22,14603,14070,533,3.60000000
CN2201100000000,22,011,"Beauregard Parish, LA",Feb-22,14974,14536,438,2.90000000
CN2201300000000,22,013,"Bienville Parish, LA",Feb-22,5243,5028,215,4.10000000
CN2201500000000,22,015,"Bossier Parish, LA",Feb-22,57956,56425,1531,2.60000000
CN2201700000000,22,017,"Caddo Parish, LA",Feb-22,102356,97793,4563,4.50000000
CN2201900000000,22,019,"Calcasieu Parish, LA",Feb-22,97956,94265,3691,3.80000000
CN2202100000000,22,021,"Caldwell Parish, LA",Feb-22,3649,3521,128,3.50000000
CN2202300000000,22,023,"Cameron Parish, LA",Feb-22,3618,3527,91,2.50000000
CN2202500000000,22,025,"Catahoula Parish, LA",Feb-22,3429,3300,129,3.80000000
CN2202700000000,22,027,"Claiborne Parish, LA",Feb-22,5416,5226,190,3.50000000
CN2202900000000,22,029,"Concordia Parish, LA",Feb-22,6774,6469,305,4.50000000
CN2203100000000,22,031,"De Soto Parish, LA",Feb-22,10906,10531,375,3.40000000
CN2203300000000,22,033,"East Baton Rouge Parish, LA",Feb-22,230094,221815,8279,3.60000000
CN2203500000000,22,035,"East Carroll Parish, LA",Feb-22,1669,1530,139,8.30000000
CN2203700000000,22,037,"East Feliciana Parish, LA",Feb-22,7755,7511,244,3.10000000
CN2203900000000,22,039,"Evangeline Parish, LA",Feb-22,11831,11358,473,4.00000000
CN2204100000000,22,041,"Franklin Parish, LA",Feb-22,7417,7089,328,4.40000000
CN2204300000000,22,043,"Grant Parish, LA",Feb-22,8344,8108,236,2.80000000
CN2204500000000,22,045,"Iberia Parish, LA",Feb-22,27629,26261,1368,5.00000000
CN2204700000000,22,047,"Iberville Parish, LA",Feb-22,13841,13108,733,5.30000000
CN2204900000000,22,049,"Jackson Parish, LA",Feb-22,6844,6649,195,2.80000000
CN2205100000000,22,051,"Jefferson Parish, LA",Feb-22,210598,201862,8736,4.10000000
CN2205300000000,22,053,"Jefferson Davis Parish, LA",Feb-22,12803,12397,406,3.20000000
CN2205500000000,22,055,"Lafayette Parish, LA",Feb-22,115372,111931,3441,3.00000000
CN2205700000000,22,057,"Lafourche Parish, LA",Feb-22,40174,38876,1298,3.20000000
CN2205900000000,22,059,"LaSalle Parish, LA",Feb-22,6569,6421,148,2.30000000
CN2206100000000,22,061,"Lincoln Parish, LA",Feb-22,21475,20871,604,2.80000000
CN2206300000000,22,063,"Livingston Parish, LA",Feb-22,70348,68533,1815,2.60000000
CN2206500000000,22,065,"Madison Parish, LA",Feb-22,3436,3266,170,4.90000000
CN2206700000000,22,067,"Morehouse Parish, LA",Feb-22,10054,9436,618,6.10000000
CN2206900000000,22,069,"Natchitoches Parish, LA",Feb-22,16525,15984,541,3.30000000
CN2207100000000,22,071,"Orleans Parish, LA",Feb-22,178334,167630,10704,6.00000000
CN2207300000000,22,073,"Ouachita Parish, LA",Feb-22,69583,67159,2424,3.50000000
CN2207500000000,22,075,"Plaquemines Parish, LA",Feb-22,9735,9451,284,2.90000000
CN2207700000000,22,077,"Pointe Coupee Parish, LA",Feb-22,9676,9283,393,4.10000000
CN2207900000000,22,079,"Rapides Parish, LA",Feb-22,56454,54890,1564,2.80000000
CN2208100000000,22,081,"Red River Parish, LA",Feb-22,3694,3579,115,3.10000000
CN2208300000000,22,083,"Richland Parish, LA",Feb-22,8117,7805,312,3.80000000
CN2208500000000,22,085,"Sabine Parish, LA",Feb-22,9224,8989,235,2.50000000
CN2208700000000,22,087,"St. Bernard Parish, LA",Feb-22,20051,19070,981,4.90000000
CN2208900000000,22,089,"St. Charles Parish, LA",Feb-22,24689,23855,834,3.40000000
CN2209100000000,22,091,"St. Helena Parish, LA",Feb-22,4276,3985,291,6.80000000
CN2209300000000,22,093,"St. James Parish, LA",Feb-22,8971,8479,492,5.50000000
CN2209500000000,22,095,"St. John the Baptist Parish, LA",Feb-22,19345,18077,1268,6.60000000
CN2209700000000,22,097,"St. Landry Parish, LA",Feb-22,31751,30272,1479,4.70000000
CN2209900000000,22,099,"St. Martin Parish, LA",Feb-22,22029,21177,852,3.90000000
CN2210100000000,22,101,"St. Mary Parish, LA",Feb-22,18947,17990,957,5.10000000
CN2210300000000,22,103,"St. Tammany Parish, LA",Feb-22,118501,115430,3071,2.60000000
CN2210500000000,22,105,"Tangipahoa Parish, LA",Feb-22,56380,53749,2631,4.70000000
CN2210700000000,22,107,"Tensas Parish, LA",Feb-22,1304,1247,57,4.40000000
CN2210900000000,22,109,"Terrebonne Parish, LA",Feb-22,44478,42617,1861,4.20000000
CN2211100000000,22,111,"Union Parish, LA",Feb-22,9086,8767,319,3.50000000
CN2211300000000,22,113,"Vermilion Parish, LA",Feb-22,23856,23026,830,3.50000000
CN2211500000000,22,115,"Vernon Parish, LA",Feb-22,16147,15592,555,3.40000000
CN2211700000000,22,117,"Washington Parish, LA",Feb-22,17012,16319,693,4.10000000
CN2211900000000,22,119,"Webster Parish, LA",Feb-22,14156,13617,539,3.80000000
CN2212100000000,22,121,"West Baton Rouge Parish, LA",Feb-22,13788,13333,455,3.30000000
CN2212300000000,22,123,"West Carroll Parish, LA",Feb-22,3478,3274,204,5.90000000
CN2212500000000,22,125,"West Feliciana Parish, LA",Feb-22,5348,5219,129,2.40000000
CN2212700000000,22,127,"Winn Parish, LA",Feb-22,4564,4412,152,3.30000000
CN2300100000000,23,001,"Androscoggin County, ME",Feb-22,54128,52022,2106,3.90000000
CN2300300000000,23,003,"Aroostook County, ME",Feb-22,28467,26882,1585,5.60000000
CN2300500000000,23,005,"Cumberland County, ME",Feb-22,160122,155330,4792,3.00000000
CN2300700000000,23,007,"Franklin County, ME",Feb-22,13818,13170,648,4.70000000
CN2300900000000,23,009,"Hancock County, ME",Feb-22,27224,25448,1776,6.50000000
CN2301100000000,23,011,"Kennebec County, ME",Feb-22,61379,59047,2332,3.80000000
CN2301300000000,23,013,"Knox County, ME",Feb-22,19140,18254,886,4.60000000
CN2301500000000,23,015,"Lincoln County, ME",Feb-22,15933,15204,729,4.60000000
CN2301700000000,23,017,"Oxford County, ME",Feb-22,26148,24906,1242,4.70000000
CN2301900000000,23,019,"Penobscot County, ME",Feb-22,76287,73173,3114,4.10000000
CN2302100000000,23,021,"Piscataquis County, ME",Feb-22,7351,6948,403,5.50000000
CN2302300000000,23,023,"Sagadahoc County, ME",Feb-22,18962,18367,595,3.10000000
CN2302500000000,23,025,"Somerset County, ME",Feb-22,22233,20849,1384,6.20000000
CN2302700000000,23,027,"Waldo County, ME",Feb-22,20078,19113,965,4.80000000
CN2302900000000,23,029,"Washington County, ME",Feb-22,13009,12048,961,7.40000000
CN2303100000000,23,031,"York County, ME",Feb-22,111473,106724,4749,4.30000000
CN2400100000000,24,001,"Allegany County, MD",Feb-22 c,30419,28741,1678,5.50000000
CN2400300000000,24,003,"Anne Arundel County, MD",Feb-22 c,314687,303194,11493,3.70000000
CN2400500000000,24,005,"Baltimore County, MD",Feb-22 c,446917,427421,19496,4.40000000
CN2400900000000,24,009,"Calvert County, MD",Feb-22 c,48936,47158,1778,3.60000000
CN2401100000000,24,011,"Caroline County, MD",Feb-22 c,17301,16594,707,4.10000000
CN2401300000000,24,013,"Carroll County, MD",Feb-22 c,94595,91432,3163,3.30000000
CN2401500000000,24,015,"Cecil County, MD",Feb-22 c,52282,49944,2338,4.50000000
CN2401700000000,24,017,"Charles County, MD",Feb-22 c,86183,82489,3694,4.30000000
CN2401900000000,24,019,"Dorchester County, MD",Feb-22 c,15695,14900,795,5.10000000
CN2402100000000,24,021,"Frederick County, MD",Feb-22 c,135756,130633,5123,3.80000000
CN2402300000000,24,023,"Garrett County, MD",Feb-22 c,15164,14395,769,5.10000000
CN2402500000000,24,025,"Harford County, MD",Feb-22 c,140558,135181,5377,3.80000000
CN2402700000000,24,027,"Howard County, MD",Feb-22 c,187858,181688,6170,3.30000000
CN2402900000000,24,029,"Kent County, MD",Feb-22 c,9367,8866,501,5.30000000
CN2403100000000,24,031,"Montgomery County, MD",Feb-22 c,546190,525055,21135,3.90000000
CN2403300000000,24,033,"Prince George's County, MD",Feb-22 c,498758,471964,26794,5.40000000
CN2403500000000,24,035,"Queen Anne's County, MD",Feb-22 c,27941,26923,1018,3.60000000
CN2403700000000,24,037,"St. Mary's County, MD",Feb-22 c,57334,55206,2128,3.70000000
CN2403900000000,24,039,"Somerset County, MD",Feb-22 c,8502,7913,589,6.90000000
CN2404100000000,24,041,"Talbot County, MD",Feb-22 c,17145,16322,823,4.80000000
CN2404300000000,24,043,"Washington County, MD",Feb-22 c,72309,69159,3150,4.40000000
CN2404500000000,24,045,"Wicomico County, MD",Feb-22 c,48029,45465,2564,5.30000000
CN2404700000000,24,047,"Worcester County, MD",Feb-22 c,24336,22124,2212,9.10000000
CN2451000000000,24,510,"Baltimore city, MD",Feb-22 c,278101,261269,16832,6.10000000
CN2500100000000,25,001,"Barnstable County, MA",Feb-22,107506,99904,7602,7.10000000
CN2500300000000,25,003,"Berkshire County, MA",Feb-22,61670,58304,3366,5.50000000
CN2500500000000,25,005,"Bristol County, MA",Feb-22,300632,283287,17345,5.80000000
CN2500700000000,25,007,"Dukes County, MA",Feb-22,8668,7929,739,8.50000000
CN2500900000000,25,009,"Essex County, MA",Feb-22,423900,404196,19704,4.60000000
CN2501100000000,25,011,"Franklin County, MA",Feb-22,40994,39407,1587,3.90000000
CN2501300000000,25,013,"Hampden County, MA",Feb-22,228467,215401,13066,5.70000000
CN2501500000000,25,015,"Hampshire County, MA",Feb-22,90680,87426,3254,3.60000000
CN2501700000000,25,017,"Middlesex County, MA",Feb-22,913839,885669,28170,3.10000000
CN2501900000000,25,019,"Nantucket County/town, MA",Feb-22,6467,5522,945,14.60000000
CN2502100000000,25,021,"Norfolk County, MA",Feb-22,393693,379901,13792,3.50000000
CN2502300000000,25,023,"Plymouth County, MA",Feb-22,285254,271061,14193,5.00000000
CN2502500000000,25,025,"Suffolk County, MA",Feb-22,454123,437301,16822,3.70000000
CN2502700000000,25,027,"Worcester County, MA",Feb-22,443384,423775,19609,4.40000000
CN2600100000000,26,001,"Alcona County, MI",Feb-22,3611,3282,329,9.10000000
CN2600300000000,26,003,"Alger County, MI",Feb-22,3025,2754,271,9.00000000
CN2600500000000,26,005,"Allegan County, MI",Feb-22,60298,57729,2569,4.30000000
CN2600700000000,26,007,"Alpena County, MI",Feb-22,13471,12710,761,5.60000000
CN2600900000000,26,009,"Antrim County, MI",Feb-22,9414,8671,743,7.90000000
CN2601100000000,26,011,"Arenac County, MI",Feb-22,5647,5062,585,10.40000000
CN2601300000000,26,013,"Baraga County, MI",Feb-22,3025,2744,281,9.30000000
CN2601500000000,26,015,"Barry County, MI",Feb-22,30972,29658,1314,4.20000000
CN2601700000000,26,017,"Bay County, MI",Feb-22,48354,45370,2984,6.20000000
CN2601900000000,26,019,"Benzie County, MI",Feb-22,8347,7755,592,7.10000000
CN2602100000000,26,021,"Berrien County, MI",Feb-22,69985,66329,3656,5.20000000
CN2602300000000,26,023,"Branch County, MI",Feb-22,18675,17856,819,4.40000000
CN2602500000000,26,025,"Calhoun County, MI",Feb-22,59379,56029,3350,5.60000000
CN2602700000000,26,027,"Cass County, MI",Feb-22,23173,22144,1029,4.40000000
CN2602900000000,26,029,"Charlevoix County, MI",Feb-22,11824,11076,748,6.30000000
CN2603100000000,26,031,"Cheboygan County, MI",Feb-22,9425,8150,1275,13.50000000
CN2603300000000,26,033,"Chippewa County, MI",Feb-22,16203,14898,1305,8.10000000
CN2603500000000,26,035,"Clare County, MI",Feb-22,11042,10054,988,8.90000000
CN2603700000000,26,037,"Clinton County, MI",Feb-22,39139,37657,1482,3.80000000
CN2603900000000,26,039,"Crawford County, MI",Feb-22,5280,4847,433,8.20000000
CN2604100000000,26,041,"Delta County, MI",Feb-22,16024,14899,1125,7.00000000
CN2604300000000,26,043,"Dickinson County, MI",Feb-22,12158,11577,581,4.80000000
CN2604500000000,26,045,"Eaton County, MI",Feb-22,54580,52155,2425,4.40000000
CN2604700000000,26,047,"Emmet County, MI",Feb-22,15728,14483,1245,7.90000000
CN2604900000000,26,049,"Genesee County, MI",Feb-22,174735,162767,11968,6.80000000
CN2605100000000,26,051,"Gladwin County, MI",Feb-22,9379,8649,730,7.80000000
CN2605300000000,26,053,"Gogebic County, MI",Feb-22,5639,5329,310,5.50000000
CN2605500000000,26,055,"Grand Traverse County, MI",Feb-22,46682,44512,2170,4.60000000
CN2605700000000,26,057,"Gratiot County, MI",Feb-22,16955,16097,858,5.10000000
CN2605900000000,26,059,"Hillsdale County, MI",Feb-22,19540,18572,968,5.00000000
CN2606100000000,26,061,"Houghton County, MI",Feb-22,16204,15385,819,5.10000000
CN2606300000000,26,063,"Huron County, MI",Feb-22,14355,13544,811,5.60000000
CN2606500000000,26,065,"Ingham County, MI",Feb-22,142741,136282,6459,4.50000000
CN2606700000000,26,067,"Ionia County, MI",Feb-22,29274,27993,1281,4.40000000
CN2606900000000,26,069,"Iosco County, MI",Feb-22,9724,8875,849,8.70000000
CN2607100000000,26,071,"Iron County, MI",Feb-22,4776,4452,324,6.80000000
CN2607300000000,26,073,"Isabella County, MI",Feb-22,31970,30374,1596,5.00000000
CN2607500000000,26,075,"Jackson County, MI",Feb-22,72384,68565,3819,5.30000000
CN2607700000000,26,077,"Kalamazoo County, MI",Feb-22,129715,124423,5292,4.10000000
CN2607900000000,26,079,"Kalkaska County, MI",Feb-22,7541,6923,618,8.20000000
CN2608100000000,26,081,"Kent County, MI",Feb-22,349966,336810,13156,3.80000000
CN2608300000000,26,083,"Keweenaw County, MI",Feb-22,906,845,61,6.70000000
CN2608500000000,26,085,"Lake County, MI",Feb-22,3833,3498,335,8.70000000
CN2608700000000,26,087,"Lapeer County, MI",Feb-22,40977,38410,2567,6.30000000
CN2608900000000,26,089,"Leelanau County, MI",Feb-22,9780,9249,531,5.40000000
CN2609100000000,26,091,"Lenawee County, MI",Feb-22,44412,41992,2420,5.40000000
CN2609300000000,26,093,"Livingston County, MI",Feb-22,103588,99670,3918,3.80000000
CN2609500000000,26,095,"Luce County, MI",Feb-22,2016,1868,148,7.30000000
CN2609700000000,26,097,"Mackinac County, MI",Feb-22,4136,3387,749,18.10000000
CN2609900000000,26,099,"Macomb County, MI",Feb-22,445844,423576,22268,5.00000000
CN2610100000000,26,101,"Manistee County, MI",Feb-22,9563,8845,718,7.50000000
CN2610300000000,26,103,"Marquette County, MI",Feb-22,31369,29570,1799,5.70000000
CN2610500000000,26,105,"Mason County, MI",Feb-22,12475,11594,881,7.10000000
CN2610700000000,26,107,"Mecosta County, MI",Feb-22,17946,16828,1118,6.20000000
CN2610900000000,26,109,"Menominee County, MI",Feb-22,10266,9818,448,4.40000000
CN2611100000000,26,111,"Midland County, MI",Feb-22,38191,36347,1844,4.80000000
CN2611300000000,26,113,"Missaukee County, MI",Feb-22,6645,6228,417,6.30000000
CN2611500000000,26,115,"Monroe County, MI",Feb-22,73791,69165,4626,6.30000000
CN2611700000000,26,117,"Montcalm County, MI",Feb-22,27166,25743,1423,5.20000000
CN2611900000000,26,119,"Montmorency County, MI",Feb-22,2937,2619,318,10.80000000
CN2612100000000,26,121,"Muskegon County, MI",Feb-22,75774,70944,4830,6.40000000
CN2612300000000,26,123,"Newaygo County, MI",Feb-22,22797,21515,1282,5.60000000
CN2612500000000,26,125,"Oakland County, MI",Feb-22,669265,643710,25555,3.80000000
CN2612700000000,26,127,"Oceana County, MI",Feb-22,11197,10229,968,8.60000000
CN2612900000000,26,129,"Ogemaw County, MI",Feb-22,7681,6949,732,9.50000000
CN2613100000000,26,131,"Ontonagon County, MI",Feb-22,2049,1895,154,7.50000000
CN2613300000000,26,133,"Osceola County, MI",Feb-22,11332,10688,644,5.70000000
CN2613500000000,26,135,"Oscoda County, MI",Feb-22,2470,2207,263,10.60000000
CN2613700000000,26,137,"Otsego County, MI",Feb-22,11167,10392,775,6.90000000
CN2613900000000,26,139,"Ottawa County, MI",Feb-22,157137,151772,5365,3.40000000
CN2614100000000,26,141,"Presque Isle County, MI",Feb-22,4798,4235,563,11.70000000
CN2614300000000,26,143,"Roscommon County, MI",Feb-22,7143,6303,840,11.80000000
CN2614500000000,26,145,"Saginaw County, MI",Feb-22,81333,75846,5487,6.70000000
CN2614700000000,26,147,"St. Clair County, MI",Feb-22,75446,71316,4130,5.50000000
CN2614900000000,26,149,"St. Joseph County, MI",Feb-22,27395,26325,1070,3.90000000
CN2615100000000,26,151,"Sanilac County, MI",Feb-22,18637,17485,1152,6.20000000
CN2615300000000,26,153,"Schoolcraft County, MI",Feb-22,3068,2750,318,10.40000000
CN2615500000000,26,155,"Shiawassee County, MI",Feb-22,31922,30199,1723,5.40000000
CN2615700000000,26,157,"Tuscola County, MI",Feb-22,22529,21081,1448,6.40000000
CN2615900000000,26,159,"Van Buren County, MI",Feb-22,34081,31985,2096,6.20000000
CN2616100000000,26,161,"Washtenaw County, MI",Feb-22,196080,188803,7277,3.70000000
CN2616300000000,26,163,"Wayne County, MI",Feb-22,814101,756362,57739,7.10000000
CN2616500000000,26,165,"Wexford County, MI",Feb-22,14346,13522,824,5.70000000
CN2700100000000,27,001,"Aitkin County, MN",Feb-22,7359,6984,375,5.10000000
CN2700300000000,27,003,"Anoka County, MN",Feb-22,199338,194337,5001,2.50000000
CN2700500000000,27,005,"Becker County, MN",Feb-22,19065,18415,650,3.40000000
CN2700700000000,27,007,"Beltrami County, MN",Feb-22,24225,23374,851,3.50000000
CN2700900000000,27,009,"Benton County, MN",Feb-22,22109,21266,843,3.80000000
CN2701100000000,27,011,"Big Stone County, MN",Feb-22,2367,2278,89,3.80000000
CN2701300000000,27,013,"Blue Earth County, MN",Feb-22,40719,39831,888,2.20000000
CN2701500000000,27,015,"Brown County, MN",Feb-22,13558,13145,413,3.00000000
CN2701700000000,27,017,"Carlton County, MN",Feb-22,17771,17104,667,3.80000000
CN2701900000000,27,019,"Carver County, MN",Feb-22,59543,58339,1204,2.00000000
CN2702100000000,27,021,"Cass County, MN",Feb-22,16941,16234,707,4.20000000
CN2702300000000,27,023,"Chippewa County, MN",Feb-22,6502,6343,159,2.40000000
CN2702500000000,27,025,"Chisago County, MN",Feb-22,30180,29166,1014,3.40000000
CN2702700000000,27,027,"Clay County, MN",Feb-22,37294,36454,840,2.30000000
CN2702900000000,27,029,"Clearwater County, MN",Feb-22,4574,4189,385,8.40000000
CN2703100000000,27,031,"Cook County, MN",Feb-22,2648,2532,116,4.40000000
CN2703300000000,27,033,"Cottonwood County, MN",Feb-22,6635,6493,142,2.10000000
CN2703500000000,27,035,"Crow Wing County, MN",Feb-22,31424,30217,1207,3.80000000
CN2703700000000,27,037,"Dakota County, MN",Feb-22,242868,237545,5323,2.20000000
CN2703900000000,27,039,"Dodge County, MN",Feb-22,12141,11771,370,3.00000000
CN2704100000000,27,041,"Douglas County, MN",Feb-22,20940,20416,524,2.50000000
CN2704300000000,27,043,"Faribault County, MN",Feb-22,6808,6575,233,3.40000000
CN2704500000000,27,045,"Fillmore County, MN",Feb-22,11655,11319,336,2.90000000
CN2704700000000,27,047,"Freeborn County, MN",Feb-22,15504,15095,409,2.60000000
CN2704900000000,27,049,"Goodhue County, MN",Feb-22,26467,25759,708,2.70000000
CN2705100000000,27,051,"Grant County, MN",Feb-22,3204,3090,114,3.60000000
CN2705300000000,27,053,"Hennepin County, MN",Feb-22,705069,689757,15312,2.20000000
CN2705500000000,27,055,"Houston County, MN",Feb-22,10545,10263,282,2.70000000
CN2705700000000,27,057,"Hubbard County, MN",Feb-22,10011,9539,472,4.70000000
CN2705900000000,27,059,"Isanti County, MN",Feb-22,21945,21110,835,3.80000000
CN2706100000000,27,061,"Itasca County, MN",Feb-22,21074,20035,1039,4.90000000
CN2706300000000,27,063,"Jackson County, MN",Feb-22,5440,5310,130,2.40000000
CN2706500000000,27,065,"Kanabec County, MN",Feb-22,9187,8616,571,6.20000000
CN2706700000000,27,067,"Kandiyohi County, MN",Feb-22,22768,21995,773,3.40000000
CN2706900000000,27,069,"Kittson County, MN",Feb-22,2246,2184,62,2.80000000
CN2707100000000,27,071,"Koochiching County, MN",Feb-22,5516,5320,196,3.60000000
CN2707300000000,27,073,"Lac qui Parle County, MN",Feb-22,3379,3279,100,3.00000000
CN2707500000000,27,075,"Lake County, MN",Feb-22,5171,5024,147,2.80000000
CN2707700000000,27,077,"Lake of the Woods County, MN",Feb-22,2500,2440,60,2.40000000
CN2707900000000,27,079,"Le Sueur County, MN",Feb-22,16150,15440,710,4.40000000
CN2708100000000,27,081,"Lincoln County, MN",Feb-22,2952,2842,110,3.70000000
CN2708300000000,27,083,"Lyon County, MN",Feb-22,14201,13807,394,2.80000000
CN2708500000000,27,085,"McLeod County, MN",Feb-22,19009,18420,589,3.10000000
CN2708700000000,27,087,"Mahnomen County, MN",Feb-22,2249,2124,125,5.60000000
CN2708900000000,27,089,"Marshall County, MN",Feb-22,5293,5017,276,5.20000000
CN2709100000000,27,091,"Martin County, MN",Feb-22,9462,9215,247,2.60000000
CN2709300000000,27,093,"Meeker County, MN",Feb-22,13231,12758,473,3.60000000
CN2709500000000,27,095,"Mille Lacs County, MN",Feb-22,12885,12173,712,5.50000000
CN2709700000000,27,097,"Morrison County, MN",Feb-22,17615,16649,966,5.50000000
CN2709900000000,27,099,"Mower County, MN",Feb-22,20646,20123,523,2.50000000
CN2710100000000,27,101,"Murray County, MN",Feb-22,4547,4332,215,4.70000000
CN2710300000000,27,103,"Nicollet County, MN",Feb-22,20905,20476,429,2.10000000
CN2710500000000,27,105,"Nobles County, MN",Feb-22,11300,11063,237,2.10000000
CN2710700000000,27,107,"Norman County, MN",Feb-22,3280,3148,132,4.00000000
CN2710900000000,27,109,"Olmsted County, MN",Feb-22,92172,90257,1915,2.10000000
CN2711100000000,27,111,"Otter Tail County, MN",Feb-22,30567,29438,1129,3.70000000
CN2711300000000,27,113,"Pennington County, MN",Feb-22,8782,8422,360,4.10000000
CN2711500000000,27,115,"Pine County, MN",Feb-22,14292,13515,777,5.40000000
CN2711700000000,27,117,"Pipestone County, MN",Feb-22,4368,4225,143,3.30000000
CN2711900000000,27,119,"Polk County, MN",Feb-22,16371,15855,516,3.20000000
CN2712100000000,27,121,"Pope County, MN",Feb-22,6317,6146,171,2.70000000
CN2712300000000,27,123,"Ramsey County, MN",Feb-22,285834,278946,6888,2.40000000
CN2712500000000,27,125,"Red Lake County, MN",Feb-22,2200,2107,93,4.20000000
CN2712700000000,27,127,"Redwood County, MN",Feb-22,7422,7216,206,2.80000000
CN2712900000000,27,129,"Renville County, MN",Feb-22,8233,7895,338,4.10000000
CN2713100000000,27,131,"Rice County, MN",Feb-22,37002,36012,990,2.70000000
CN2713300000000,27,133,"Rock County, MN",Feb-22,5962,5854,108,1.80000000
CN2713500000000,27,135,"Roseau County, MN",Feb-22,7967,7774,193,2.40000000
CN2713700000000,27,137,"St. Louis County, MN",Feb-22,100999,97897,3102,3.10000000
CN2713900000000,27,139,"Scott County, MN",Feb-22,84608,82816,1792,2.10000000
CN2714100000000,27,141,"Sherburne County, MN",Feb-22,53527,51884,1643,3.10000000
CN2714300000000,27,143,"Sibley County, MN",Feb-22,8225,7918,307,3.70000000
CN2714500000000,27,145,"Stearns County, MN",Feb-22,91259,88731,2528,2.80000000
